"interval","count"
2022-10-28,78
2022-10-28 08:00:00,62
2022-10-28 16:00:00,41
2022-10-29,41
2022-10-29 08:00:00,1652
2022-10-29 16:00:00,21654
2022-10-30,19961
2022-10-30 08:00:00,10292
2022-10-30 16:00:00,4305
